keyword,created_at,user_id,text
albergue,2024-07-09 17:30:51+00:00,586695861,@juanmalamet Hay una mafia que está utilizando a los africanos como mercancía. Y tú como periodista no lo podrías obviar. Te voy a contar la historia del albergue en Sabiñánigo y la fraudulenta ONG que lo gestiona.
albergue,2024-07-09 17:28:04+00:00,806265126760443909,El que quiera comida gratis vaya a un albergue 🏣
albergue,2024-07-09 17:21:38+00:00,4218814342,Sullana: Plantean la construcción de un albergue para 300 niños https://t.co/JGgrOendm3 https://t.co/YAM3D3sx03
deportación,2024-07-09 18:10:14+00:00,1270407343,El Partido Republicano aprueba programa electoral que incluye la mayor deportación en la historia de EEUU https://t.co/Ak4NNGgiEq
deportación,2024-07-09 18:07:24+00:00,994019281011642369,"@Slim_sl3 @SGainsbourg02 @BocaEnLaCopa @Emilian0Diaz Ya me imagino a Trump viéndo a alguien con cara de artesanía prehispánica diciéndole que es ciudadano estadounidense. Deportación segura, indio de mierda"
deportación,2024-07-09 18:06:58+00:00,160534915,@SrLiberal @BodisattvaA Y el ejército ?? Y la deportación ?? 🤷‍♂️
deportación,2024-07-09 18:04:50+00:00,310695266,Porqué cojones hemos de acoger a los menores no acompañados? Verdad que tienen padres? Deportación ya. Ni un euro más para mantener a delincuentes en potencia. No somos ni queremos ser una ONG
deportación,2024-07-09 18:04:35+00:00,1522726473903362049,@elnuevodiariord @DiputadosRD En serio? Dios míos tanta cosas mal que hay en ese código penal y incluyendo de deportación.
deportación,2024-07-09 18:04:20+00:00,1505583137165824007,"@MiltonFriedom5 Donde hay un negro hay problema.
Deportación Inmediata"
deportación,2024-07-09 18:02:09+00:00,1795490829198565376,"@ryo_hermoso Crímenes de lesa humanidadSon crímenes cometidos como parte de un ataque general  sistemático contra civiles en tiempo de paz o de guerra, que incluyen tortura, desaparición forzada, homicidio, esclavización, deportación y actos de violencia sexual y de género, incluida violacion"
deportación,2024-07-09 18:00:37+00:00,15731165,"🚨 @POTUS anunció nuevas medidas para apoyar a las personas indocumentadas casados con ciudadanos, permitiéndoles trabajar y permanecer en el país sin temor a la deportación mientras siguen su camino hacia el estatus legal.

Esto es lo que necesitas saber ⤵️ https://t.co/ODCCS900Ch"
deportación,2024-07-09 18:00:31+00:00,52422182,"🚢 #Videocharla Cruzada | Republicanos aprueban plan para la mayor deportación de migrantes en EEUU 

📺 Ve el segmento https://t.co/AkmZg6T7Gb https://t.co/pl9uGfrili"
deportación,2024-07-09 17:47:52+00:00,1265724470775492610,@CaadeOKC Deportación
coyotes,2024-07-09 17:57:11+00:00,824260722,@RaulFalla31 @__VaderGT Pendejete militar frustrado entre coyotes se alaban .. buenos para nada todos
coyotes,2024-07-09 17:54:35+00:00,1162103995520831488,"@Cougar_77 @receptorcommx Hace un par de temporadas hubo un problema en un juego Coyotes CU vs Pats de Coapa, en una jugada un esquinero de Coyotes le puso un golpe legal con los brazos a una receptora de Pats, la chica salio volando y tuvo conmoción, se armó un desmadre."
coyotes,2024-07-09 17:35:07+00:00,139602248,"@MmeValente Unas coyotes de guayaba, por favor"
coyotes,2024-07-09 17:34:52+00:00,1699505325479714816,@codedandunited No coyotes hats….
coyotes,2024-07-09 17:32:51+00:00,895316073515540480,@FrenteaFrenteHN Espero que renato pueda hacer un programa del gran caus que vivimos los honduren̈os en el exterior respecto a los tramites consulares .y de una vez desarticulen la gran mafia de coyotes vendiendo citas incluso asta 200 dolares
coyotes,2024-07-09 17:32:34+00:00,4689414398,"@NoticieroHechos Presidente Bukele , hoy se compraron 3 Chile verde por 1 dólar, 6 temáticos por 1 dólar,  no hay baja de precios,  cárcel a los coyotes q por años nos hurtan lo poco de salario,  cumpla su palabra q igual q los MS, a  cecot , a los coyotes q no le temen! https://t.co/ujf5El35Qb"
